Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Heather,Watkins,Russell Mission 220,Port Angelaland,18036,Danmark,DK,19850321-2942,+45,(355)951-6025x505,1985-03-21,True
Stian,Iversen,Bergeberget 82,Kristianøy,7947,Norge,NO,19910825-5967,+47,69 73 16 10,1991-08-25,True
Sigrid,Andersen,Amundsenlia 41,Strand,4991,Norge,NO,19650103-0753,+47,92669917,1965-01-03,True
Lars,Hussein,Kyrkovägen 1,Halmstad,29262,Sverige,SE,19710406-7332,+46,08-746 53 31,1971-04-06,True
Ida,Mattsson,Aspvägen 545,Luleå,18132,Sverige,SE,19881021-6041,+46,0274-229 34,1988-10-21,True
Denise,Ryan,Gray Unions 77466,West Bethanyville,19575,Danmark,DK,19520711-2337,+45,313-612-4019,1952-07-11,True
Päivi,Salonen,Nervanderintie 5,Paimio,62022,Finland,FI,19940210-524N,+358,(+358) 010256542,1994-02-10,True
Johanna,Nordin,Gentorget 72,Alingsås,53013,Sverige,SE,19981007-9446,+46,+46 (0)286 466 06,1998-10-07,True
Laura,Evans,Walters Crescent 6728,Rodriguezfort,80464,Danmark,DK,19400811-4059,+45,001-824-404-5215x423,1940-08-11,False
Sten,Ågren,Åkervägen 01,Östersund,89362,Sverige,SE,19631005-6236,+46,08-00 33 07,1963-10-05,True
Ann,Löfgren,Skogsgatan 6,Uddevalla,17422,Sverige,SE,19520516-7249,+46,+46 (0)8 361 946 57,1952-05-16,True
Kustaa,Heikkinen,Poretie 934,Jomala,28418,Finland,FI,19420522-585A,+358,048 877 3359,1942-05-22,False
Ivar,Karlsen,Solbergrøa 31A,Mayeid,8647,Norge,NO,19570718-8607,+47,990 14 631,1957-07-18,True
Teresia,Lindmark,Villastigen 5,Lund,66340,Sverige,SE,19770607-5148,+46,+46 (0)341 389 93,1977-06-07,True
Meja,Berglund,Skolvägen 88,Sundsvall,99228,Sverige,SE,19870904-5649,+46,+46 (0)67 54 54 05,1987-09-04,True
Fanny,Palm,Skogsgatan 5,Borås,32443,Sverige,SE,19850401-1070,+46,+46 (0)25 21 34 77,1985-04-01,True
Elin,Åström,Skoltorget 05,Trelleborg,85070,Sverige,SE,19450831-1010,+46,08-480 171 24,1945-08-31,True
Aino,Salmela,Järkälebulevardi 1,Heinola,36299,Finland,FI,19640310-5240,+358,+358408141622,1964-03-10,True
Kimberly,Hopkins,Hernandez Prairie 80762,West Jeffreymouth,24894,Danmark,DK,19691102-1468,+45,778.926.5892,1969-11-02,True
Nancy,Ström,Kyrkostigen 36,Jönköping,72041,Sverige,SE,20000919-8760,+46,08-152 45 48,2000-09-19,True
Johanna,Holmqvist,Kvarngatan 42,Karlstad,11910,Sverige,SE,19490124-4987,+46,0590-531 99,1949-01-24,True
Astrid,Karlsson,Industrivägen 5,Gävle,91966,Sverige,SE,19850820-3863,+46,+46 (0)37 73 34 31,1985-08-20,True
Timothy,Woodard,Sanford Road 7002,East Rachel,17297,Danmark,DK,19960627-8197,+45,(478)423-7943x1363,1996-06-27,True
Pia,Jonsson,Storgränd 43,Piteå,50524,Sverige,SE,19400628-8377,+46,0794-394 55,1940-06-28,True
Frida,Larsson,Idrottsvägen 894,Helsingborg,72416,Sverige,SE,19641202-1813,+46,08-45 12 49,1964-12-02,True
Tammy,Morris,Williams Rapid 7970,South Melissa,79733,Danmark,DK,19890117-3940,+45,(416)339-0945x798,1989-01-17,True
Robert,Miller,Morris Ports 25467,New Heatherport,56304,Danmark,DK,19561125-9316,+45,(943)852-7355x1839,1956-11-25,True
Kian,Andersson,Gengatan 15,Karlskoga,18862,Sverige,SE,19441104-5138,+46,0594-713 57,1944-11-04,True
Annikki,Johansson,Bäckgränd 3,Eskilstuna,53434,Sverige,SE,19560508-8120,+46,+46 (0)14 10 51 81,1956-05-08,True
Christer,Bergqvist,Skogsgatan 506,Halmstad,34006,Sverige,SE,19950410-8065,+46,+46 (0)713 251 05,1995-04-10,True
Sven,Ström,Backgränd 1,Varberg,26045,Sverige,SE,19490406-8581,+46,0389-208 66,1949-04-06,True
Roland,Gustafsson,Grantorget 2,Trollhättan,66687,Sverige,SE,19950130-8133,+46,+46 (0)8 009 396 44,1995-01-30,True
Nicklas,Karlsson,Backgränd 52,Gävle,98365,Sverige,SE,19430416-4066,+46,+46 (0)364 567 97,1943-04-16,True
Rachel,Webb,Michelle Roads 3258,Josetown,06898,Danmark,DK,19511125-4550,+45,+1-759-690-9550x24388,1951-11-25,True
Hans,Boman,Parkvägen 1,Örnsköldsvik,60628,Sverige,SE,19610606-2568,+46,08-624 91 37,1961-06-06,True
Viktoria,Niklasson,Järnvägsstigen 5,Uppsala,17877,Sverige,SE,19671211-3959,+46,+46 (0)75 64 99 12,1967-12-11,True
Linnéa,Johansson,Skoltorget 118,Lidköping,65355,Sverige,SE,19560428-4092,+46,+46 (0)8 124 214 52,1956-04-28,True
Liv,Engen,Karlsenrøa 43B,Reidundal,3924,Norge,NO,19920504-9509,+47,+47 75 65 14 19,1992-05-04,True
Levi,Pedersen,Aspgränd 76,Eskilstuna,35944,Sverige,SE,19570311-7706,+46,0814-704 12,1957-03-11,True
Joakim,Pedersen,Thomassenåsen 6,Hanssen,0528,Norge,NO,19821109-5432,+47,40865123,1982-11-09,True
Gun,Karlsson,Stationsstigen 8,Landskrona,87904,Sverige,SE,19631128-2938,+46,08-34 31 54,1963-11-28,True
Ulla-Britt,Svensson,Granvägen 21,Karlstad,88063,Sverige,SE,19480106-0824,+46,042-082 87 02,1948-01-06,True
Karin,Eriksson,Ekgränd 56,Trelleborg,57052,Sverige,SE,19780110-4100,+46,08-692 868 43,1978-01-10,True
Inger,Jørgensen,Haugbakken 1D,Kristiansen,5561,Norge,NO,19400405-7484,+47,+47 26 25 73 82,1940-04-05,True
Leif,Svendsen,Hansenløkka 93A,Andreassen,5042,Norge,NO,19861111-4167,+47,91346636,1986-11-11,True
Nellie,Granlund,Järnvägsvägen 495,Landskrona,90436,Sverige,SE,19430705-7044,+46,0474-348 62,1943-07-05,True
Alexander,Pettersson,Gengatan 1,Trollhättan,44424,Sverige,SE,19820906-5886,+46,+46 (0)995 754 91,1982-09-06,True
Marissa,Schroeder,Rogers Causeway 16763,North Andreafurt,53026,Danmark,DK,19780629-8730,+45,364-462-2122x533,1978-06-29,True
Fredrik,Issa,Ängsvägen 6,Landskrona,76202,Sverige,SE,19490702-1497,+46,052-61 55 11,1949-07-02,True
Gunnar,Said,Ringtorget 10,Sandviken,15971,Sverige,SE,19730604-9272,+46,032-365 87 47,1973-06-04,True
Jose,Strandberg,Ringgatan 7,Helsingborg,93600,Sverige,SE,19600612-6036,+46,053-79 49 63,1960-06-12,True
Anders,Karlsson,Idrottstorget 710,Halmstad,10026,Seerige,SE,19791020-9662,+46,08-004 63 72,1979-10-20,True
Lovisa,Hussein,Industrigatan 24,Borås,19089,Sverige,SE,19520618-9503,+46,08-72 72 03,1952-06-18,True
Martin,Westman,Skolgatan 140,Ängelholm,71504,Sverige,SE,19590217-6079,+46,0740-957 60,1959-02-17,True
Frode,Solberg,Thomassenekra 3E,Solberg,3436,Norge,NO,19800315-1094,+47,82 75 77 98,1980-03-15,True
Oliver,Fredriksson,Kyrkovägen 223,Västerås,17955,Sverige,SE,19731230-6153,46,004-431 28 80,1973-12-30,True
Karin,Jakobsson,Gengatan 91,Kalmar,78089,Sverige,SE,19470427-2884,+46,0972-95 64 35,1947-04-27,True
Anna,Lennartsson,Åkerstigen 5,Borås,42227,Sverige,SE,19710722-6121,+46,079-325 19 08,1971-07-22,True
Michele,Archer,Ramirez Terrace 537,East Diane,63229,Danmark,DK,19980315-4787,+45,356.344.9493,1998-03-15,True
Finn,Sørensen,Jensenringen 96,Sørensen,2957,Norge,NO,19960408-5239,+47,+47 64 87 36 67,1996-04-08,True
Christina,Gunnarsson,Nytorget 02,Ängelholm,23705,Sverige,SE,19790707-1810,+46,0035-960 99,1979-07-07,True
Sonja,Alfredsson,Parkgatan 48,Malmö,10885,Sverige,SE,19500710-5285,+46,+46 (0)646 595 51,1950-07-10,True
Daniela,Hosseini,Industrivägen 88,Falun,96656,Sverige,SE,19730623-3778,+46,08-557 633 11,1973-06-23,True
Alfred,Mohammed,Skolstigen 59,Borlänge,47928,Sverige,SE,19960519-2164,+46,+46 (0)8 133 652 71,1996-05-19,True
Ted,Åberg,Furugatan 3,Skellefteå,27261,Sverige,SE,19760830-9895,+46,+46 (0)07 49 52 39,1976-08-30,True
Tone,Berg,Hansenvika 2,Hansen,1415,Norge,NO,19760621-4113,+47,06971475,1976-06-21,True
Anna,Henriksson,Skogsgatan 5,Trelleborg,95157,Sverige,SE,19440621-5368,+46,0904-91 26 77,1944-06-21,True
Andrea,Sæther,Dahlstien 59B,Pettersen,6595,Norge,NO,19770409-9504,+47,91890840,1977-04-09,True
Stein,Knutsen,Johnsenholtet 1,Kjerstihamn,4903,Norge,NO,19780803-3380,+47,56 42 75 10,1978-08-03,True
Hans,Nielsen,Jakobsenberget 37A,Tommystrand,6762,Norge,NO,19921118-3742,+47,76675288,1992-11-18,True
Tricia,Schmidt,Norris Cliff 7432,West Karen,82744,Danmark,DK,19631222-9222,+45,572.888.6264,1963-12-22,True
William,Nguyen,Perez Court 30118,Wilsonfort,38851,Danmark,DK,19570530-1327,+45,+1-875-295-8723,1957-05-30,True
Maria,Rasmussen,Andreassenmyra 63D,Pettersen,2731,Norge,NO,19630220-7251,+47,+4765304407,1963-02-20,True
Olof,Carlsson,Ektorget 748,Umeå,75259,Sverige,SE,19961011-4402,+46,08-919 988 01,1996-10-11,True
Tommy,Gulbrandsen,Haugehavna 64,Kirstennes,3562,Norge,NO,19860808-2608,+47,45737528,1986-08-08,True
Sven,Petersson,Aspgatan 7,Sandviken,38575,Sverige,SE,19660326-6323,+46,+46 (0)8 965 914 52,1966-03-26,True
Helene,Hagen,Christensenhøgda 3,Svendsen,2834,Norge,NO,19651029-6284,+47,40559157,1965-10-29,True
Maya,Sandström,Skoltorget 1,Motala,48889,Sverige,SE,19911002-4973,+46,027-29 64 01,1991-10-02,True
Samantha,Garner,Hardy Park 38416,East Brianton,91032,Danmark,DK,19890727-9917,+45,001-927-693-1057x894,1989-07-27,True
Inga-Lill,Olsson,Ängsvägen 931,Sundsvall,78684,Sverige,SE,19620531-4342,+46,+46 (0)8 035 065 16,1962-05-31,True
Tony,Diaz,Rodriguez Junctions 5994,Lake Daniel,95537,Danmark,DK,19410619-3022,+45,821-700-6254,1941-06-19,True
Richard,Burnett,Cervantes Plaza 1967,East Abigail,32833,Danmark,DK,19940311-0443,+45,911-926-5420x723,1994-03-11,True
Eero,Leskinen,Oraspolku 29,Sodankylä,03358,Finland,FI,19600312-735F,+358,047 913 1149,1960-03-12,True
Kristina,Karlsson,Industrivägen 11,Göteborg,68082,Sverige,SE,19990122-9511,+46,+46 (0)88 50 35 00,1999-01-22,True
Johan,Karlsson,Åkergatan 5,Umeå,66097,Sverige,SE,19770518-7182,+46,+46 (0)54 14 04 09,1977-05-18,True
Arvid,Eriksson,Aspvägen 7,Sundsvall,89634,Sverige,SE,19510525-0736,+46,+46 (0)659 690 30,1951-05-25,True
Marie,Nilsson,Ringtorget 3,Karlskrona,37118,Sverige,SE,19600718-2640,+46,+46 (0)610 760 48,1960-07-18,True
Ola,Löfgren,Åkergränd 1,Trollhättan,82226,Sverige,SE,19530311-4108,+46,061-766 30 02,1953-03-11,True
David,Mann,Gary Corners 54711,East Christopherland,48041,Danmark,DK,19590628-5896,+45,001-313-900-6570,1959-06-28,True
Knut,Hagen,Jacobsenplassen 3B,Abrahamsen,0249,Norge,NO,19640107-3555,+47,57390175,1964-01-07,True
Scott,Watson,Joel Villages 160,Figueroahaven,41828,Danmark,DK,19640810-1394,+45,549.767.5491,1964-08-10,True
Jan,Fredriksson,Strandgatan 02,Lidingö,65312,Sverige,SE,19900531-7906,46,0660-599 23,1990-05-31,True
Johan,Blomberg,Gentorget 292,Södertälje,92166,Sverige,SE,19980212-7049,+46,+46 (0)8 124 115 69,1998-02-12,True
Cecilia,Larsson,Björktorget 628,Kristianstad,56281,Sverige,SE,19910904-9063,+46,08-709 430 36,1991-09-04,True
Monika,Strand,Parkgatan 79,Eskilstuna,66281,Sverige,SE,19690511-9567,+46,0709-776 46,1969-05-11,True
Harry,Samuelsson,Kyrkogatan 959,Uppsala,19270,Sverige,SE,19700130-1696,+46,08-86 78 64,1970-01-30,True
Valborg,Bengtsson,Fabriksgatan 248,Södertälje,47704,Sverige,SE,19490613-3814,+46,+46 (0)78 03 00 06,1949-06-13,True
Marte,Abrahamsen,Henriksengjerdet 15B,Lisehelle,2337,Norge,NO,19720817-1667,+47,42318112,1972-08-17,True
Benjamin,Hood,Pollard Extensions 38322,South Steventown,27972,Danmark,DK,19580508-2039,+45,+1-532-568-1021x62896,1958-05-08,True
Håkon,Myklebust,Isaksenkollen 2,Antonsen,7048,Norge,NO,19630113-8872,+47,07 95 84 17,1963-01-13,True
Malin,Axelsson,Fabriksvägen 4,Lidköping,85258,Sverige,SE,19740810-4336,+46,08-192 268 11,1974-08-10,True
Carl,Johansson,Kyrkstigen 9,Kristianstad,59610,Sverige,SE,19540225-1010,+46,0657-06 14 58,1954-02-25,True
Per,Persson,Parkgatan 636,Sundsvall,33273,Sverige,SE,19851008-9894,+46,0023-75 22 26,1985-10-08,True
Elvira,Petersson,Strandvägen 0,Västerås,14021,Sverige,SE,19941019-0098,+46,+46 (0)537 892 39,1994-10-19,True
Yvonne,Danielsson,Skogsgatan 96,Lidköping,97953,Sverige,SE,19971107-2034,+46,+46 (0)8 409 716 53,1997-11-07,True
Margareta,Söderlund,Backtorget 34,Örnsköldsvik,36150,Sverige,SE,19421224-4876,+46,08-609 250 05,1942-12-24,True
Kristin,Skoglund,Storvägen 75,Karlskoga,88866,Sverige,SE,19790924-2060,+46,076-613 88 74,1979-09-24,True
Gustaf,Bergqvist,Furugatan 347,Lidingö,14561,Sverige,SE,19690611-3450,+46,0192-22 44 19,1969-06-11,True
Markus,Nygård,Bakkestranda 309,Martinefjord,3720,Norge,NO,19400314-7744,+47,07 70 27 44,1940-03-14,True
Brita,Axelsson,Skolgatan 84,Sundsvall,77063,Sverige,SE,19820523-5856,+46,040-023 07 33,1982-05-23,True
Inger,Hedberg,Villavägen 1,Karlskrona,28741,Sverige,SE,19970529-6455,+46,+46 (0)797 425 98,1997-05-29,True
Allison,Kelly,Harmon Fields 551,New Sandrastad,08985,Danmark,DK,19821014-9077,+45,+1-966-906-8827x84056,1982-10-14,True
Matteo,Andersson,Kyrkovägen 2,Lidköping,25095,Sverige,SE,19551023-9647,+46,082-340 06 56,1955-10-23,True
Johannes,Seppä,Tahtikatu 45,Rautalampi,83341,Finland,FI,19760716-464X,+358,+358 48 7932911,1976-07-16,True
Bengt,Olsson,Storvägen 19,Karlstad,23043,Sverige,SE,19510923-7223,+46,08-577 77 34,1951-09-23,True
Andre,Hood,Eric Plain 733,North Toddtown,19023,Danmark,DK,19870804-3668,+45,+1-505-876-0316x2053,1987-08-04,True
Ida,Ek,Furugränd 0,Borås,40413,Sverige,SE,19550327-8745,+46,08-55 94 62,1955-03-27,True
Sebastian,Mårtensson,Trädgårdsgatan 9,Kristianstad,59097,Sverige,SE,19800507-7751,+46,065-617 30 21,1980-05-07,True
Marius,Myklebust,Ahmedskrenten 8,Erlingodden,2198,Norge,NO,19490621-5232,+47,43702153,1949-06-21,True
Margareta,Larsson,Stationstorget 497,Luleå,65766,Sverige,SE,19980421-4977,+46,0756-921 85,1998-04-21,True
Tommy,Johannessen,Alistien 22,Nguyen,5720,Norge,NO,20000406-7169,+47,48582828,2000-04-06,True
Axel,Berg,Kyrkgatan 32,Alingsås,82788,Sverige,SE,19410808-3870,+46,042-16 92 40,1941-08-08,True
Kjell,Möller,Bäckgatan 563,Göteborg,99377,Sverige,SE,19810220-2799,+46,036-468 90 69,1981-02-20,True
Hilding,Westerlund,Parktorget 522,Borlänge,23010,Sverige,SE,19460327-7611,+46,08-09 26 47,1946-03-27,True
Lilly,Andersen,Kvarnstigen 3,Trollhättan,35686,Sverige,SE,19420916-4742,+46,+46 (0)33 72 83 67,1942-09-16,True
Alma,Saleh,Trädgårdsgatan 7,Piteå,31023,Sverige,SE,19641202-7885,+45,058-79 62 55,1964-12-02,True
Berit,Helland,Jensenvollen 717,Solheim,8947,Norge,NO,19470531-8249,+47,48013951,1947-05-31,True
Edward,Fredriksson,Industristigen 2,Norrköping,92089,Sverige,SE,19660213-3329,+46,064-750 80 83,1966-02-13,True
Reidun,Mathisen,Evensenalléen 18,Edvardsen,3778,Norge,NO,19690407-9402,+47,84 31 77 19,1969-04-07,True
Ann,Ahmed,Holmekra 89E,Iversen,5422,Norge,NO,19971122-5805,+47,45 56 69 86,1997-11-22,True
Inger,Johansson,Nygränd 1,Piteå,26092,Sverige,SE,19690310-7747,+46,08-09 57 98,1969-03-10,True
Karin,Ali,Kyrkvägen 89,Jönköping,55105,Sverige,SE,19440629-0693,+46,000-678 00 09,1944-06-29,True
Aurora,Pennanen,Saparonkuja 5,Rautalampi,47370,Finland,FI,19630116-390D,+358,+358 754536630,1963-01-16,True
Maria,Nilsson,Furugatan 217,Sundsvall,72306,Sverige,SE,19591220-7902,+46,08-874 926 73,1959-12-20,True
Mika,Erkkilä,Disanpolku 88,Hausjärvi,95607,Finland,FI,19640427-6021,+358,045 085 3492,1964-04-27,True
Seppo,Lepistö,Yrjöntie 5,Viitasaari,63707,Finland,FI,19761103-831S,+358,+358 942855493,1976-11-03,False
Anna,Gunnarsson,Industrigränd 583,Lidköping,61093,Sverige,SE,19410621-4982,+46,08-441 79 48,1941-06-21,True
Cornelia,Mattsson,Villavägen 608,Skövde,87876,Sverige,SE,19910828-5489,+46,+46 (0)453 753 15,1991-08-28,True
Unni,Olsen,Jørgensentoppen 4D,Monahelle,4166,Norge,NO,19670725-2103,+47,44014063,1967-07-25,True
Philip,Norman,Ängsstigen 3,Umeå,12322,Sverige,SE,19880808-6211,+46,0749-56 16 91,1988-08-08,True
Charlotta,Dahlin,Parkgatan 537,Sundsvall,75444,Sverige,SE,19760526-2040,+46,+46 (0)637 220 12,1976-05-26,True
Allan,Magnusson,Industrigränd 69,Örnsköldsvik,17409,Sverige,SE,19880803-4019,+46,0270-786 23,1988-08-03,True
Alexander,Dahl,Hanseneggen 54,Hauge,6790,Norge,NO,19470715-8813,+47,94601161,1947-07-15,True
Mattias,Andersson,Björktorget 578,Luleå,46301,Sverige,SE,19680325-8215,+46,094-68 40 85,1968-03-25,True
Hans,Jacobsen,Jørgensenlunden 4,Andreassen,7459,Norge,NO,19910502-7643,+47,17 00 96 69,1991-05-02,True
Hilda,Carlsson,Backstigen 039,Västerås,58208,Sverige,SE,19401005-6566,+46,08-427 782 51,1940-10-05,True
Silje,Berntsen,Thorsenhavna 381,Eide,6030,Norge,NO,19890701-3042,+47,41455303,1989-07-01,True
Kimberly,Reed,Jessica Mountains 005,Walterschester,93685,Danmark,DK,19950801-8178,+45,+1-293-417-2996x40348,1995-08-01,True
Anders,Andersson,Furutorget 1,Halmstad,28690,Sverige,SE,19660402-0378,+46,08-890 65 37,1966-04-02,True
Lauri,Eriksson,Taavetti Laitisen kuja 0,Vimpeli,76007,Finland,FI,19740513-122F,+358,0507946881,1974-05-13,False
Sixten,Svensson,Kvarntorget 791,Halmstad,78613,Sverige,SE,19860219-3948,+46,0289-45 11 02,1986-02-19,True
Lars,Claesson,Villastigen 37,Sundsvall,99149,Sverige,SE,19770816-2661,+46,08-190 722 06,1977-08-16,True
Reidun,Simonsen,Auneholtet 01,Iversen,7926,Norge,NO,19931126-9057,+47,40802531,1993-11-26,True
Gunn,Næss,Eliassenjordet 5C,Iversen,1890,Norge,NO,19860516-7386,+47,+47 22 14 29 11,1986-05-16,True
Maria,Kauppinen,Uunisepäntie 31,Utsjoki,19305,Finland,FI,19450711-1154,+358,+358 298882775,1945-07-11,True
Daniel,Nyman,Villavägen 855,Göteborg,38636,Sverige,SE,19630618-9987,+46,065-427 42 17,1963-06-18,True
Carl,Johansson,Fabriksgatan 581,Uppsala,92453,Sverige,SE,19980918-7174,+46,08-109 875 20,1998-09-18,True
Trine,Jacobsen,Ruudløkka 251,Gulbrandsen,0070,Norge,NO,19930503-9389,+47,98077043,1993-05-03,True
Robert,Stout,Bryant Lakes 05582,Moniquebury,54989,Danmark,DK,19590603-4415,+45,607.294.2569x41346,1959-06-03,True
Marianne,Meriläinen,Sadepolku 0,Pyhäranta,10527,Finland,FI,19971016-047U,+358,+358047614963,1997-10-16,True
Åke,Andersson,Åkertorget 341,Nyköping,50032,Sverige,SE,19460606-7470,+46,08-86 59 80,1946-06-06,True
Jon,Myhre,Mikkelsenhaugen 70,Monicastad,0111,Norge,NO,19990902-4931,+47,94538478,1999-09-02,True
Leena,Jäntti,Taavinkuja 760,Hailuoto,78588,Finland,FI,19760717-735P,+358,+358845984527,1976-07-17,True
Lars-Olof,Andreasson,Storgatan 64,Karlskrona,21564,Sverige,SE,19680622-5049,+46,0079-30 97 54,1968-06-22,True
Jacob,Irwin,Cody Track 980,Davisborough,21741,Danmark,DK,19590205-3664,+45,545-949-8839,1959-02-05,True
Vendela,Jonsson,Industristigen 98,Uppsala,38747,Sverige,SE,19610401-0918,+46,0456-651 75,1961-04-01,True
Gustaf,Andersson,Skogsvägen 177,Mölndal,60519,Sverige,SE,19620602-8698,+46,0274-052 77,1962-06-02,True
Hannele,Virtanen,Sapilaskatu 69,Inari,09966,Finland,FI,19860602-005B,+358,019 358 9810,1986-06-02,True
Björn,Andersson,Nyvägen 9,Falun,14259,Sverige,SE,19740115-2048,+46,08-635 578 18,1974-01-15,True
Melissa,Villa,Fritz Shoals 141,West Stacie,63960,Danmark,DK,19600413-8591,+45,607-899-6142x0577,1960-04-13,True
Karen,Hauge,Nygårdfaret 74,Linehelle,3827,Norge,NO,19550729-4669,+47,41707659,1955-07-29,True
Gunilla,Jönsson,Skoltorget 58,Landskrona,11205,Sverige,SE,19560603-8899,+46,0271-612 12,1956-06-03,True
Asbjørn,Berntsen,Antonsenhagen 06,Torilldal,6627,Norge,NO,19640527-5500,+47,+4721113949,1964-05-27,True
Anette,Madsen,Ellingsenringen 28,Knudsen,8150,Norge,NO,19791231-8738,+47,+47 02 31 88 66,1979-12-31,True
Zachary,Mccarthy,Lawrence Locks 986,South Andrea,13647,Danmark,DK,19891212-3293,+45,242.520.8838x34445,1989-12-12,True
Petter,Johansson,Ekgatan 4,Östersund,52685,Sverige,SE,19611224-5013,+46,08-266 83 35,1961-12-24,True
Eirik,Madsen,Auneringen 4B,Karlsen,6428,Norge,NO,19870707-0845,+47,87964628,1987-07-07,True
Cecilia,Öberg,Ängsstigen 93,Östersund,57939,Sverige,SE,19810705-0654,+46,0552-51 69 26,1981-07-05,True
Ian,West,Antonio Heights 73809,West Natalieberg,33728,Danmark,DK,19570808-7923,+45,(602)574-5545x08878,1957-08-08,True
Tage,Levin,Ängsvägen 107,Sandviken,53798,Sverige,SE,19410823-7790,+46,08-211 88 73,1941-08-23,True
Inkeri,Rajala,Haahkabulevardi 865,Enontekiö,06545,Finland,FI,19890523-346S,+358,+358 23 2998056,1989-05-23,True
Tilda,Nyberg,Strandstigen 4,Karlstad,26223,Sverige,SE,19460905-8453,+46,0914-994 27,1946-09-05,True
Edwin,Ferguson,Ryan Islands 77354,Lake Ashlee,02687,Danmark,DK,19510202-2113,+45,339-560-5152,1951-02-02,True
Ulla,Pirinen,Fagottitie 042,Raasepori,00395,Finland,FI,19440106-214A,+358,035 082 2432,1944-01-06,True
Emma,Porter,Campos Roads 16938,Lake Bethanyfort,33874,Danmark,DK,19850620-9572,+45,253-886-8769x8606,1985-06-20,True
Eli,Birkeland,Myklebustrøa 71,Wenchedal,4067,Norge,NO,19830323-4248,+47,42160048,1983-03-23,True
Daniel,Andersson,Ringgatan 137,Nyköping,75335,Sverige,SE,19610709-7048,+46,08-50 21 65,1961-07-09,True
David,Flores,Katherine Keys 4311,Molinachester,44687,Danmark,DK,19770101-5511,+45,+1-374-957-9040x16985,1977-01-01,True
Olof,Eriksson,Granvägen 5,Lund,40228,Sverige,SE,19610908-1380,+46,032-899 89 07,1961-09-08,True
Thomas,Bruce,Ryan Crest 63965,Copelandfort,90057,Danmark,DK,19940817-9483,+45,702.490.0772,1994-08-17,True
Anna,Dahl,Lundelyngen 7B,Liseøy,1386,Norge,NO,19850128-1084,+47,77 52 45 81,1985-01-28,True
Frank,Svensson,Industrivägen 779,Landskrona,62255,Sverige,SE,19931216-7964,+46,08-122 814 37,1993-12-16,True
Yvonne,Blomkvist,Villagatan 3,Skövde,33856,Sverige,SE,19580210-6004,+46,08-435 294 62,1958-02-10,True
Terje,Eriksen,Engenbakken 3,Gerddal,0403,Norge,NO,19800728-1503,+47,+47 52 41 36 49,1980-07-28,True
Reine,Dahlgren,Storvägen 368,Trollhättan,47307,Sverige,SE,19761014-0428,+46,08-194 148 58,1976-10-14,True
Teresa,Henson,Joshua Keys 7808,Johnsonfort,72926,Danmark,DK,19630717-8258,+45,001-525-246-0722,1963-07-17,True
Ingrid,Berg,Furutorget 975,Växjö,18930,Sverige,SE,19480420-3999,+46,0753-804 42,1948-04-20,True
Hjördis,Frisk,Stationsgatan 4,Göteborg,32778,Sverige,SE,19550225-0220,+46,08-636 59 63,1955-02-25,True
Jim,Singh,Thomas Parkway 24145,West Danahaven,75631,Danmark,DK,19590628-4633,+45,(789)389-3804x249,1959-06-28,True
Mona,Andersen,Antonsenlyngen 76E,Berge,6999,Norge,NO,19980202-5838,+47,83 61 12 89,1998-02-02,True
Markus,Ali,Aasengen 73,Hauge,5060,Norge,NO,19730922-3202,+47,45256472,1973-09-22,True
Tonje,Jakobsen,Larsenberget 73,Bjørgstrøm,8447,Norge,NO,19791104-6186,+47,05 98 32 03,1979-11-04,True
Ola,Christensen,Lieskogen 03A,Nielsen,8612,Norge,NO,19920407-0794,+47,+4733771735,1992-04-07,True
Johan,Ericsson,Storgränd 8,Umeå,90782,Sverige,SE,19640224-0831,+46,08-05 25 83,1964-02-24,True
Bengt,Lindfors,Stationsgatan 961,Örebro,53630,Sverige,SE,19560327-8697,+46,08-919 15 37,1956-03-27,True
Alf,Pettersen,Nilsenjordet 3,Rogervær,9860,Norge,NO,19540704-4167,+47,44995454,1954-07-04,True
Kari,Knudsen,Brekkespranget 67G,Espenvær,1026,Norge,NO,19560304-0646,+47,76 75 51 74,1956-03-04,True
Robert,Sæther,Madsenstubben 6,Fredriksen,1464,Norge,NO,19960409-7443,+47,85505999,1996-04-09,True
Britt,Karlsen,Sandviktunet 3,Helland,8315,Norge,NO,19480329-1400,+47,990 64 556,1948-03-29,True
Sofia,Gustafsson,Kyrkvägen 13,Uddevalla,27468,Sverige,SE,19930410-2286,+46,+46 (0)8 386 319 05,1993-04-10,True
Lars,Martinsen,Henriksenvollen 69,Elinø,7972,Norge,NO,19860809-0048,+47,25223423,1986-08-09,True
Karl,Helland,Mathisenstykket 7,Frodeø,5560,Norge,NO,19801209-6736,+47,+47 45 60 33 93,1980-12-09,True
Per,Hagen,Henriksenkollen 6,Aasen,6948,Norge,NO,19630523-8284,+47,94 35 87 58,1963-05-23,True
Mika,Lehtinen,Porkkalankuja 9,Askola,14605,Finland,FI,19770127-462F,+358,(+358) 633290524,1977-01-27,True
Åse,Strand,Simonsenstykket 8,Nilsen,5988,Norge,NO,19930513-4531,+47,977 53 373,1993-05-13,True
Cecilia,Johansson,Åkergatan 810,Sandviken,61737,Sverige,SE,19560526-6712,+46,+46 (0)70 20 71 56,1956-05-26,True
